323,text/h323
3dm,x-world/x-3dmf
3dmf,x-world/x-3dmf
a,application/octet-stream
aab,application/x-authorware-bin
aam,application/x-authorware-map
aas,application/x-authorware-seg
abc,text/vnd.abc
acgi,text/html
acx,application/internet-property-stream
afl,video/animaflex
ai,application/postscript
aif,audio/x-aiff
aif,audio/aiff
aifc,audio/x-aiff
aifc,audio/aiff
aiff,audio/x-aiff
aiff,audio/aiff
aim,application/x-aim
aip,text/x-audiosoft-intra
ani,application/x-navi-animation
aos,application/x-nokia-9000-communicator-add-on-software
aps,application/mime
arc,application/octet-stream
arj,application/arj
arj,application/octet-stream
art,image/x-jg
asc,text/plain
asf,video/x-ms-asf
asm,text/x-asm
asp,text/asp
asr,video/x-ms-asf
asx,application/x-mplayer2
atom,application/atom+xml
au,audio/x-au
avi,video/avi
axs,application/olescript
bas,text/plain
bcpio,application/x-bcpio
bin,application/octet-stream
bm,image/bmp
bmp,image/bmp
boo,application/book
book,application/book
boz,application/x-bzip2
bsh,application/x-bsh
bz,application/x-bzip
bz2,application/x-bzip2
c,text/x-c
c++,text/plain
cat,application/vnd.ms-pkiseccat
cc,text/plain
cc,text/x-c
ccad,application/clariscad
cco,application/x-cocoa
cdf,application/cdf
cer,application/pkix-cert
cgm,image/cgm
cha,application/x-chat
chat,application/x-chat
class,application/x-java-class
clp,application/x-msclip
cmx,image/x-cmx
cod,image/cis-cod
com,application/octet-stream
conf,text/plain
cpio,application/x-cpio
cpp,text/x-c
cpt,application/x-compactpro
crd,application/x-mscardfile
crl,application/pkix-crl
crt,application/pkix-cert
csh,application/x-csh
css,text/css
cxx,text/plain
dcr,application/x-director
deepv,application/x-deepv
def,text/plain
der,application/x-x509-ca-cert
dif,video/x-dv
dir,application/x-director
djv,image/vnd.djvu
djvu,image/vnd.djvu
dl,video/dl
dll,application/octet-stream
dmg,application/octet-stream
dms,application/octet-stream
doc,application/msword
dot,application/msword
dp,application/commonground
drw,application/drafting
dtd,application/xml-dtd
dump,application/octet-stream
dv,video/x-dv
dvi,application/x-dvi
dwf,model/vnd.dwf
dwg,image/vnd.dwg
dxf,application/dxf
dxr,application/x-director
el,text/x-script.elisp
elc,application/x-elc
env,application/x-envoy
eps,application/postscript
es,application/x-esrehber
etx,text/x-setext
evy,application/envoy
exe,application/octet-stream
ez,application/andrew-inset
f,text/x-fortran
f77,text/x-fortran
f90,text/x-fortran
fdf,application/vnd.fdf
fif,image/fif
fli,video/fli
flo,image/florian
flr,x-world/x-vrml
flx,text/vnd.fmi.flexstor
fmf,video/x-atomic3d-feature
for,text/x-fortran
fpx,image/vnd.fpx
frl,application/freeloader
funk,audio/make
g,text/plain
g3,image/g3fax
gif,image/gif
gl,video/gl
gram,application/srgs
grxml,application/srgs+xml
gsd,audio/x-gsm
gsm,audio/x-gsm
gsp,application/x-gsp
gss,application/x-gss
gtar,application/x-gtar
gz,application/x-gzip
gzip,application/x-gzip
h,text/x-h
hdf,application/x-hdf
help,application/x-helpfile
hgl,application/vnd.hp-hpgl
hh,text/x-h
hlb,text/x-script
hlp,application/hlp
hpg,application/vnd.hp-hpgl
hpgl,application/vnd.hp-hpgl
hqx,application/binhex
hta,application/hta
htc,text/x-component
htm,text/html
html,text/html
htmls,text/html
htt,text/webviewhtml
htx,text/html
ice,x-conference/x-cooltalk
ico,image/x-icon
ics,text/calendar
idc,text/plain
ief,image/ief
iefs,image/ief
ifb,text/calendar
iges,application/iges
igs,application/iges
iii,application/x-iphone
ima,application/x-ima
imap,application/x-httpd-imap
inf,application/inf
ins,application/x-internet-signup
ip,application/x-ip2
isp,application/x-internet-signup
isu,video/x-isvideo
it,audio/it
iv,application/x-inventor
ivr,i-world/i-vrml
ivy,application/x-livescreen
jam,audio/x-jam
jav,text/x-java-source
java,text/x-java-source
jcm,application/x-java-commerce
jfif,image/jpeg
jfif-tbnl,image/jpeg
jnlp,application/x-java-jnlp-file
jp2,image/jp2
jpe,image/jpeg
jpeg,image/jpeg
jpg,image/jpeg
jps,image/x-jps
js,application/x-javascript
jut,image/jutvision
kar,audio/midi
kar,music/x-karaoke
ksh,text/x-script.ksh
la,audio/nspaudio
lam,audio/x-liveaudio
latex,application/x-latex
lha,application/lha
lhx,application/octet-stream
list,text/plain
lma,audio/nspaudio
log,text/plain
lsf,video/x-la-asf
lsp,text/x-script.lisp
lst,text/plain
lsx,video/x-la-asf
ltx,application/x-latex
lzh,application/octet-stream
lzh,application/x-lzh
lzx,application/lzx
m,text/x-m
m13,application/x-msmediaview
m14,application/x-msmediaview
m1v,video/mpeg
m2a,audio/mpeg
m2v,video/mpeg
m3u,audio/x-mpegurl
m4a,audio/mp4a-latm
m4b,audio/mp4a-latm
m4p,audio/mp4a-latm
m4u,video/vnd.mpegurl
m4v,video/x-m4v
mac,image/x-macpaint
man,application/x-troff-man
map,application/x-navimap
mar,text/plain
mathml,application/mathml+xml
mbd,application/mbedlet
mc$,application/x-magic-cap-package-1.0
mcd,application/mcad
mcf,image/vasa
mcp,application/netmc
mdb,application/x-msaccess
me,application/x-troff-me
mesh,model/mesh
mht,message/rfc822
mhtml,message/rfc822
mid,audio/midi
midi,audio/midi
mif,application/vnd.mif
mif,application/x-mif
mime,message/rfc822
mjf,audio/x-vnd.audioexplosion.mjuicemediafile
mjpg,video/x-motion-jpeg
mm,application/x-meme
mme,application/base64
mny,application/x-msmoney
mod,audio/mod
moov,video/quicktime
mov,video/quicktime
movie,video/x-sgi-movie
mp2,audio/mpeg
mp3,audio/mpeg
mp4,video/mp4
mpa,audio/mpeg
mpc,application/x-project
mpe,video/mpeg
mpeg,video/mpeg
mpg,video/mpeg
mpg,audio/mpeg
mpga,audio/mpeg
mpp,application/vnd.ms-project
mpt,application/x-project
mpv,application/x-project
mpv2,video/mpeg
mpx,application/x-project
mrc,application/marc
ms,application/x-troff-ms
msh,model/mesh
mv,video/x-sgi-movie
mvb,application/x-msmediaview
mxu,video/vnd.mpegurl
my,audio/make
mzz,application/x-vnd.audioexplosion.mzz
nap,image/naplps
naplps,image/naplps
nc,application/x-netcdf
ncm,application/vnd.nokia.configuration-message
nif,image/x-niff
niff,image/x-niff
nix,application/x-mix-transfer
nsc,application/x-conference
nvd,application/x-navidoc
nws,message/rfc822
o,application/octet-stream
oda,application/oda
ogg,application/ogg
omc,application/x-omc
omcd,application/x-omcdatamaker
omcr,application/x-omcregerator
p,text/x-pascal
p10,application/pkcs10
p10,application/x-pkcs10
p12,application/pkcs-12
p12,application/x-pkcs12
p7a,application/x-pkcs7-signature
p7b,application/x-pkcs7-certificates
p7c,application/pkcs7-mime
p7c,application/x-pkcs7-mime
p7m,application/pkcs7-mime
p7m,application/x-pkcs7-mime
p7r,application/x-pkcs7-certreqresp
p7s,application/pkcs7-signature
p7s,application/x-pkcs7-signature
part,application/pro_eng
pas,text/pascal
pbm,image/x-portable-bitmap
pcl,application/vnd.hp-pcl
pcl,application/x-pcl
pct,image/pict
pct,image/x-pict
pcx,image/x-pcx
pdb,chemical/x-pdb
pdf,application/pdf
pfunk,audio/make
pfx,application/x-pkcs12
pgm,image/x-portable-graymap
pgn,application/x-chess-pgn
pic,image/pict
pict,image/pict
pkg,application/x-newton-compatible-pkg
pko,application/vnd.ms-pki.pko
pl,text/x-script.perl
plx,application/x-pixclscript
pm,text/x-script.perl-module
pm4,application/x-pagemaker
pm5,application/x-pagemaker
pma,application/x-perfmon
pmc,application/x-perfmon
pml,application/x-perfmon
pmr,application/x-perfmon
pmw,application/x-perfmon
png,image/png
pnm,image/x-portable-anymap
pnt,image/x-macpaint
pntg,image/x-macpaint
pot,application/mspowerpoint
pov,model/x-pov
ppa,application/vnd.ms-powerpoint
ppm,image/x-portable-pixmap
pps,application/mspowerpoint
ppt,application/powerpoint
ppz,application/mspowerpoint
pre,application/x-freelance
prf,application/pics-rules
prt,application/pro_eng
ps,application/postscript
psd,application/octet-stream
pub,application/x-mspublisher
pvu,paleovu/x-pv
pwz,application/vnd.ms-powerpoint
py,text/x-script.phyton
pyc,applicaiton/x-bytecode.python
qcp,audio/vnd.qcelp
qd3,x-world/x-3dmf
qd3d,x-world/x-3dmf
qif,image/x-quicktime
qt,video/quicktime
qtc,video/x-qtc
qti,image/x-quicktime
qtif,image/x-quicktime
ra,audio/x-realaudio
ram,audio/x-pn-realaudio
ras,image/cmu-raster
rast,image/cmu-raster
rdf,application/rdf+xml
rexx,text/x-script.rexx
rf,image/vnd.rn-realflash
rgb,image/x-rgb
rm,audio/x-pn-realaudio
rmi,audio/mid
rmm,audio/x-pn-realaudio
rmp,audio/x-pn-realaudio
rng,application/ringing-tones
rnx,application/vnd.rn-realplayer
roff,application/x-troff
rp,image/vnd.rn-realpix
rpm,audio/x-pn-realaudio-plugin
rt,text/richtext
rtf,text/richtext
rtx,text/richtext
rv,video/vnd.rn-realvideo
s,text/x-asm
s3m,audio/s3m
saveme,application/octet-stream
sbk,application/x-tbook
scd,application/x-msschedule
scm,application/x-lotusscreencam
scm,text/x-script.guile
sct,text/scriptlet
sdml,text/plain
sdp,application/sdp
sdr,application/sounder
sea,application/sea
set,application/set
setpay,application/set-payment-initiation
setreg,application/set-registration-initiation
sgm,text/sgml
sgml,text/sgml
sh,text/x-script.sh
shar,application/x-shar
shtml,text/html
sid,audio/x-psid
silo,model/mesh
sit,application/x-stuffit
skd,application/x-koan
skm,application/x-koan
skp,application/x-koan
skt,application/x-koan
sl,application/x-seelogo
smi,application/smil
smil,application/smil
snd,audio/basic
so,application/octet-stream
sol,application/solids
spc,text/x-speech
spl,application/futuresplash
spr,application/x-sprite
sprite,application/x-sprite
src,application/x-wais-source
ssi,text/x-server-parsed-html
ssm,application/streamingmedia
sst,application/vnd.ms-pki.certstore
step,application/step
stl,application/sla
stm,text/html
stp,application/step
sv4cpio,application/x-sv4cpio
sv4crc,application/x-sv4crc
svf,image/x-dwg
svg,image/svg+xml
svr,application/x-world
swf,application/x-shockwave-flash
t,application/x-troff
talk,text/x-speech
tar,application/x-tar
tbk,application/toolbook
tcl,text/x-script.tcl
tcsh,text/x-script.tcsh
tex,application/x-tex
texi,application/x-texinfo
texinfo,application/x-texinfo
text,text/plain
tgz,application/x-compressed
tif,image/tiff
tiff,image/tiff
tr,application/x-troff
trm,application/x-msterminal
tsi,audio/tsp-audio
tsp,audio/tsplayer
tsv,text/tab-separated-values
turbot,image/florian
txt,text/plain
uil,text/x-uil
uls,text/iuls
uni,text/uri-list
unis,text/uri-list
unv,application/i-deas
uri,text/uri-list
uris,text/uri-list
ustar,application/x-ustar
uu,text/x-uuencode
uue,text/x-uuencode
vcd,application/x-cdlink
vcf,text/x-vcard
vcs,text/x-vcalendar
vda,application/vda
vdo,video/vdo
vew,application/groupwise
viv,video/vivo
vivo,video/vivo
vmd,application/vocaltec-media-desc
vmf,application/vocaltec-media-file
voc,audio/voc
voc,audio/x-voc
vos,video/vosaic
vox,audio/voxware
vqe,audio/x-twinvq-plugin
vqf,audio/x-twinvq
vql,audio/x-twinvq-plugin
vrml,model/vrml
vrt,x-world/x-vrt
vsd,application/x-visio
vst,application/x-visio
vsw,application/x-visio
vxml,application/voicexml+xml
w60,application/wordperfect6.0
w61,application/wordperfect6.1
w6w,application/msword
wav,audio/x-wav
wav,audio/wav
wb1,application/x-qpro
wbmp,image/vnd.wap.wbmp
wbmxl,application/vnd.wap.wbxml
wcm,application/vnd.ms-works
wdb,application/vnd.ms-works
web,application/vnd.xara
wiz,application/msword
wk1,application/x-123
wks,application/vnd.ms-works
wmf,application/x-msmetafile
wml,text/vnd.wap.wml
wmlc,application/vnd.wap.wmlc
wmls,text/vnd.wap.wmlscript
wmlsc,application/vnd.wap.wmlscriptc
word,application/msword
wp,application/wordperfect
wp5,application/wordperfect
wp6,application/wordperfect
wpd,application/wordperfect
wpd,application/x-wpwin
wps,application/vnd.ms-works
wq1,application/x-lotus
wri,application/x-mswrite
wrl,application/x-world
wrz,model/vrml
wsc,text/scriplet
wsrc,application/x-wais-source
wtk,application/x-wintalk
xaf,x-world/x-vrml
xbm,image/x-xbitmap
xdr,video/x-amt-demorun
xgz,xgl/drawing
xht,application/xhtml+xml
xhtml,application/xhtml+xml
xif,image/vnd.xiff
xl,application/excel
xla,application/excel
xla,application/vnd.ms-excel
xlb,application/excel
xlc,application/excel
xlc,application/x-excel
xld,application/excel
xlk,application/excel
xll,application/excel
xlm,application/excel
xls,application/excel
xlt,application/excel
xlv,application/excel
xlw,application/excel
xm,audio/xm
xml,text/xml
xmz,xgl/movie
xof,x-world/x-vrml
xpix,application/x-vnd.ls-xpix
xpm,image/xpm
x-png,image/png
xsl,application/xml
xslt,application/xslt+xml
xsr,video/x-amt-showrun
xul,application/vnd.mozilla.xul+xml
xwd,image/x-xwindowdump
xyz,chemical/x-xyz
z,application/x-compressed
zip,application/x-compressed
zoo,application/octet-stream
zsh,text/x-script.zsh
,application/octet-stream
