ash-b1kf-1,207.46.34.244
bay-b1kb-1,10.20.6.46
bay-b1kf-1,10.1.196.229
by2-b1kf-1,10.20.214.202
by2-b1kb-1,10.20.214.203
blu-b1kb-1,10.20.9.46
blu-b1kf-1,10.20.9.47
cpk-b1kb-1,10.20.4.46
cpk-b1kf-1,10.20.4.47
dub-b1kb-1,10.20.13.46
dub-b1kf-1,10.18.131.5
kaw-b1kb-1,10.20.10.46
kaw-b1kf-1,10.24.2.37
db2-b1kb-1,10.20.12.46
db2-b1kf-1,10.20.12.47
pao-b1kf-1,207.46.34.206
tuk-b1kf-2,207.46.33.244
sin-b1kb-1,10.20.11.46
sin-b1kf-1,10.20.11.45
sjc-b1kf-1,207.46.33.66
tuk-b1kb-2,10.20.5.46
tuk-b1kf-1,10.230.147.5
was-b1kf-1,207.46.33.156
wst-b1kf-1,207.46.34.238